SNID: 2017cbv
SURVEY: NULL
FILTERS: uBVgri
RA: 218.143417 
DECL: -44.134094
REDSHIFT_FINAL: 0.004 +- 0.0010
PEAKMJD: 57840

VARLIST:  MJD  FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 57828.340 g 709773.8586 1242.0792 12.8722 0.0019
OBS: 57831.358 g 1554533.1941 2863.5560 12.0210 0.0020
OBS: 57849.293 g 1733644.3159 5428.9344 11.9026 0.0034
OBS: 57851.242 g 1575288.1280 2901.7880 12.0066 0.0020
OBS: 57851.243 g 1636816.5214 2562.8583 11.9650 0.0017
OBS: 57852.288 g 1436679.8478 1323.2310 12.1066 0.0010
OBS: 57856.314 g 1102249.7272 1116.7305 12.3943 0.0011
OBS: 57864.337 g 589929.3451 760.6830 13.0730 0.0014
OBS: 57867.218 g 464729.2417 898.8660 13.3320 0.0021
OBS: 57869.287 g 403942.9195 781.2949 13.4842 0.0021
OBS: 57870.297 g 394312.0054 871.6195 13.5104 0.0024
OBS: 57871.408 g 343273.2802 853.6492 13.6609 0.0027
OBS: 57872.325 g 321751.0701 829.7623 13.7312 0.0028
OBS: 57875.380 g 272345.3722 752.5181 13.9122 0.0030
OBS: 57876.358 g 266195.0651 760.0416 13.9370 0.0031
OBS: 57882.311 g 205589.0596 643.8054 14.2175 0.0034
OBS: 57888.345 g 177190.3231 505.9148 14.3789 0.0031
OBS: 57889.303 g 184212.8832 916.1982 14.3367 0.0054
OBS: 57907.279 g 139971.6235 631.7013 14.6349 0.0049
OBS: 57909.265 g 138662.8110 485.3100 14.6451 0.0038
OBS: 57915.277 g 122958.9087 396.3727 14.7756 0.0035
OBS: 57916.276 g 121943.8774 404.3321 14.7846 0.0036
OBS: 57922.268 g 110285.9021 589.1470 14.8937 0.0058
OBS: 57933.233 g 97149.3725 322.1204 15.0314 0.0036
OBS: 57945.185 g 83000.3646 252.2723 15.2023 0.0033
OBS: 57953.979 g 79337.7720 248.4475 15.2513 0.0034
OBS: 57968.080 g 60813.5001 179.2362 15.5400 0.0032
OBS: 57979.985 g 51399.6309 118.3520 15.7226 0.0025
OBS: 57993.048 g 41533.6405 95.6347 15.9540 0.0025
OBS: 58000.029 g 38818.6118 160.8897 16.0274 0.0045
OBS: 58011.030 g 31962.4455 73.5963 16.2384 0.0025
OBS: 58018.994 g 38840.0696 114.4737 16.0268 0.0032
OBS: 58140.353 g 6381.4592 31.1510 17.9877 0.0053
OBS: 58164.396 g 4781.4542 77.9487 18.3011 0.0177
OBS: 58192.397 g 3509.7808 33.6193 18.6368 0.0104
OBS: 57822.331 i 50234.2590 254.4710 15.7475 0.0055
OBS: 57823.185 i 106807.0697 432.8410 14.9285 0.0044
OBS: 57823.295 i 116788.4783 397.9948 14.8315 0.0037
OBS: 57823.397 i 122472.8996 372.2456 14.7799 0.0033
OBS: 57824.391 i 172060.0323 507.1141 14.4108 0.0032
OBS: 57825.367 i 231440.8417 660.8112 14.0889 0.0031
OBS: 57826.350 i 321336.4563 651.1160 13.7326 0.0022
OBS: 57827.296 i 420416.7397 813.1581 13.4408 0.0021
OBS: 57828.333 i 569167.3775 1153.2896 13.1119 0.0022
OBS: 57828.339 i 567962.9418 1255.4717 13.1142 0.0024
OBS: 57831.357 i 1106827.6504 2548.5648 12.3898 0.0025
OBS: 57849.290 i 980031.4212 3339.7765 12.5219 0.0037
OBS: 57849.291 i 935750.3538 2068.4590 12.5721 0.0024
OBS: 57850.286 i 886339.2873 1469.4276 12.6310 0.0018
OBS: 57852.287 i 769910.0700 1063.6701 12.7839 0.0015
OBS: 57856.313 i 708467.6103 1044.0365 12.8742 0.0016
OBS: 57864.338 i 794913.7331 1244.6424 12.7492 0.0017
OBS: 57867.219 i 820729.4172 1511.8395 12.7145 0.0020
OBS: 57869.286 i 827332.3381 1524.0025 12.7058 0.0020
OBS: 57870.300 i 791480.1001 1968.2463 12.7539 0.0027
OBS: 57882.312 i 461997.8984 1106.3411 13.3384 0.0026
OBS: 57888.342 i 352630.6032 747.0050 13.6317 0.0023
OBS: 57889.301 i 349590.8040 1481.1311 13.6411 0.0046
OBS: 57907.277 i 191972.9329 813.3426 14.2919 0.0046
OBS: 57909.267 i 183332.7277 624.7660 14.3419 0.0037
OBS: 57915.278 i 145024.0402 467.5023 14.5964 0.0035
OBS: 57916.275 i 142193.5837 484.5710 14.6178 0.0037
OBS: 57922.269 i 130028.9334 874.2558 14.7149 0.0073
OBS: 57933.231 i 81974.7310 377.5076 15.2158 0.0050
OBS: 57945.183 i 60361.4967 250.1775 15.5481 0.0045
OBS: 57953.981 i 51092.8349 263.5261 15.7291 0.0056
OBS: 57968.082 i 34840.1487 170.0715 16.1448 0.0053
OBS: 57979.982 i 28489.1833 136.4454 16.3633 0.0052
OBS: 57993.043 i 20464.4464 101.7816 16.7225 0.0054
OBS: 58000.034 i 19503.8344 123.9495 16.7747 0.0069
OBS: 58011.024 i 15292.5532 91.5523 17.0388 0.0065
OBS: 58018.986 i 17611.6481 103.8139 16.8855 0.0064
OBS: 58140.346 i 3203.6127 51.3411 18.7359 0.0174
OBS: 58164.389 i 3140.2195 54.6635 18.7576 0.0189
OBS: 58192.389 i 2427.0571 44.2610 19.0373 0.0198
OBS: 57822.333 r 61767.4966 210.4929 15.5231 0.0037
OBS: 57823.186 r 138343.8954 395.0003 14.6476 0.0031
OBS: 57823.296 r 149320.6941 440.0942 14.5647 0.0032
OBS: 57823.398 r 154981.5500 399.6812 14.5243 0.0028
OBS: 57824.390 r 216291.7727 557.7938 14.1624 0.0028
OBS: 57825.365 r 295392.8643 734.5806 13.8240 0.0027
OBS: 57826.351 r 401901.8451 629.2810 13.4897 0.0017
OBS: 57827.297 r 531031.1533 1027.1053 13.1872 0.0021
OBS: 57828.332 r 714298.9307 1578.9447 12.8653 0.0024
OBS: 57828.338 r 713181.3867 1313.7287 12.8670 0.0020
OBS: 57831.356 r 1292052.0219 2737.0549 12.2218 0.0023
OBS: 57832.337 r 1383438.9537 2038.7110 12.1476 0.0016
OBS: 57833.339 r 1641345.4667 8012.1957 11.9620 0.0053
OBS: 57849.288 r 2032918.6495 9549.1751 11.7297 0.0051
OBS: 57852.286 r 1510219.2441 1669.1560 12.0524 0.0012
OBS: 57856.312 r 1252910.3591 1500.1650 12.2552 0.0013
OBS: 57864.339 r 1036668.7331 1909.6144 12.4609 0.0020
OBS: 57867.220 r 1066399.6651 2160.8189 12.4302 0.0022
OBS: 57888.341 r 385869.0981 781.8769 13.5339 0.0022
OBS: 57889.298 r 395658.0443 1894.9555 13.5067 0.0052
OBS: 57907.277 r 245516.1131 994.9663 14.0248 0.0044
OBS: 57909.268 r 228496.7356 610.3145 14.1028 0.0029
OBS: 57915.279 r 184977.9661 511.1130 14.3322 0.0030
OBS: 57916.273 r 181217.4438 484.0316 14.3545 0.0029
OBS: 57922.270 r 158110.2408 728.1246 14.5026 0.0050
OBS: 57933.228 r 107894.6722 337.8739 14.9175 0.0034
OBS: 57933.230 r 112657.4716 2324.2546 14.8706 0.0224
OBS: 57945.180 r 78177.1799 288.0154 15.2673 0.0040
OBS: 57953.983 r 69208.5898 261.3482 15.3996 0.0041
OBS: 57968.085 r 42957.5990 170.1313 15.9174 0.0043
OBS: 57979.979 r 34219.9996 141.8300 16.1643 0.0045
OBS: 57993.037 r 22274.0915 90.2669 16.6305 0.0044
OBS: 58000.039 r 20730.0333 126.0142 16.7085 0.0066
OBS: 58011.017 r 14965.1130 63.4035 17.0623 0.0046
OBS: 58018.978 r 16695.5219 149.1583 16.9435 0.0097
OBS: 58140.338 r 1364.7088 28.9097 19.6624 0.0230
OBS: 58164.382 r 1234.8096 27.4090 19.7710 0.0241
OBS: 58192.382 r 794.2551 28.0910 20.2501 0.0384
OBS: 57822.329 u 34012.6132 639.0662 16.1709 0.0204
OBS: 57823.182 u 61984.0572 953.3934 15.5193 0.0167
OBS: 57823.291 u 53678.4541 1438.6948 15.6755 0.0291
OBS: 57823.394 u 64085.5329 914.8868 15.4831 0.0155
OBS: 57824.392 u 62367.7390 2246.0139 15.5126 0.0391
OBS: 57824.395 u 59560.7284 1179.4353 15.5626 0.0215
OBS: 57825.368 u 69861.8368 1177.5159 15.3894 0.0183
OBS: 57826.341 u 198939.0318 13192.5326 14.2532 0.0720
OBS: 57826.346 u 104174.1583 4231.3044 14.9556 0.0441
OBS: 57827.292 u 139623.9757 5658.3311 14.6376 0.0440
OBS: 57828.335 u 195146.1556 6470.5051 14.2741 0.0360
OBS: 57831.360 u 470413.7419 20320.2255 13.3188 0.0469
OBS: 57832.341 u 662521.5359 7810.6225 12.9470 0.0128
OBS: 57833.343 u 768776.3242 10196.1959 12.7855 0.0144
OBS: 57838.303 u 879994.5855 33149.6531 12.6388 0.0409
OBS: 57849.296 u 470760.4833 19381.3134 13.3180 0.0447
OBS: 57850.287 u 419025.0630 18331.9764 13.4444 0.0475
OBS: 57851.236 u 599183.7132 12306.6697 13.0561 0.0223
OBS: 57851.239 u 544402.3610 9326.2837 13.1602 0.0186
OBS: 57852.291 u 435271.2674 6254.0346 13.4031 0.0156
OBS: 57856.315 u 261168.0221 7047.9579 13.9577 0.0293
OBS: 57864.334 u 76088.6712 2950.3788 15.2967 0.0421
OBS: 57865.282 u 68536.1966 1464.4807 15.4102 0.0232
OBS: 57866.258 u 85640.6589 1301.4864 15.1683 0.0165
OBS: 57867.214 u 58689.4446 3086.5391 15.5786 0.0571
OBS: 57869.288 u 50596.4446 1985.2046 15.7397 0.0426
OBS: 57870.290 u 45256.3996 608.5672 15.8608 0.0146
OBS: 57870.294 u 46319.0880 716.7125 15.8356 0.0168
OBS: 57871.410 u 46554.3213 2628.4284 15.8301 0.0613
OBS: 57872.327 u 43439.0181 1740.3834 15.9053 0.0435
OBS: 57875.377 u 49063.6665 695.9153 15.7731 0.0154
OBS: 57876.359 u 49916.0257 616.0564 15.7544 0.0134
OBS: 57882.308 u 40405.4548 774.0678 15.9839 0.0208
OBS: 57888.348 u 36107.7145 754.9211 16.1060 0.0227
OBS: 57889.306 u 34578.0104 850.3289 16.1530 0.0267
OBS: 57909.261 u 23641.7707 339.6881 16.5658 0.0156
OBS: 57915.271 u 17438.9366 782.2123 16.8962 0.0487
OBS: 57916.277 u 16965.2397 806.2791 16.9261 0.0516
OBS: 57933.235 u 17076.5447 303.5519 16.9190 0.0193
OBS: 57945.187 u 14147.5097 598.0925 17.1233 0.0459
OBS: 57953.972 u 7346.4918 254.4155 17.8348 0.0376
OBS: 57968.071 u 6395.5809 263.8965 17.9853 0.0448
OBS: 57979.988 u 4244.6316 188.4355 18.4304 0.0482
OBS: 57993.052 u 6208.1185 157.8137 18.0176 0.0276
OBS: 58000.022 u 2786.3778 1051.4331 18.8874 0.4097
