SNID: 2017cbv
SURVEY: NULL
FILTERS: UBVgri
RA: 218.143417
DECL: -44.134094
REDSHIFT_FINAL: 0.004 +- 0.0010
PEAKMJD: 57840

VARLIST:  MJD  FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 57823.160 g 120892.6785 556.7314 14.7940 0.0050
OBS: 57823.163 g 120781.3835 667.4626 14.7950 0.0060
OBS: 57823.165 r 116627.2405 644.5059 14.8330 0.0060
OBS: 57823.167 r 116734.7076 537.5832 14.8320 0.0050
OBS: 57823.169 i 99724.0712 642.9448 15.0030 0.0070
OBS: 57823.171 i 97274.7224 627.1533 15.0300 0.0070
OBS: 57823.313 U 170294.2562 1411.6213 14.4220 0.0090
OBS: 57823.317 U 168577.6518 1397.3918 14.4330 0.0090
OBS: 57823.321 B 121227.1793 669.9261 14.7910 0.0060
OBS: 57823.324 B 120781.3835 667.4626 14.7950 0.0060
OBS: 57823.327 V 126823.5776 584.0442 14.7420 0.0050
OBS: 57823.329 V 126940.4402 701.4988 14.7410 0.0060
OBS: 57823.331 g 138547.9168 893.2514 14.6460 0.0070
OBS: 57823.334 g 139187.4249 769.1781 14.6410 0.0060
OBS: 57823.337 r 129181.4039 594.9023 14.7220 0.0050
OBS: 57823.338 r 130016.9578 718.5003 14.7150 0.0060
OBS: 57823.340 i 108943.1680 501.7018 14.9070 0.0050
OBS: 57823.342 i 109748.8555 707.5770 14.8990 0.0070
OBS: 57823.530 U 201929.6070 2417.7925 14.2370 0.0130
OBS: 57823.534 U 179473.3627 2148.9140 14.3650 0.0130
OBS: 57823.538 B 111378.1500 1333.5799 14.8830 0.0130
OBS: 57823.541 B 130617.0888 721.8167 14.7100 0.0060
OBS: 57823.544 V 153461.6983 848.0607 14.5350 0.0060
OBS: 57823.546 V 145077.4789 668.1065 14.5960 0.0050
OBS: 57823.548 g 148593.5642 958.0181 14.5700 0.0070
OBS: 57823.551 g 150660.7066 693.8182 14.5550 0.0050
OBS: 57823.554 r 145881.4260 671.8088 14.5900 0.0050
OBS: 57823.556 r 146419.8643 674.2884 14.5860 0.0050
OBS: 57823.558 i 122011.2847 674.2593 14.7840 0.0060
OBS: 57823.559 i 122687.4105 677.9957 14.7780 0.0060
OBS: 57823.746 U 203985.8300 1878.7789 14.2260 0.0100
OBS: 57823.750 U 201372.4250 1854.7086 14.2400 0.0100
OBS: 57823.754 B 146960.2899 676.7771 14.5820 0.0050
OBS: 57823.757 B 145747.1261 536.9523 14.5910 0.0040
OBS: 57823.760 V 159367.5881 733.9149 14.4940 0.0050
OBS: 57823.762 V 161287.2362 742.7552 14.4810 0.0050
OBS: 57823.764 g 169044.0932 934.1722 14.4300 0.0060
OBS: 57823.767 g 169044.0932 934.1722 14.4300 0.0060
OBS: 57823.770 r 163230.0073 751.7020 14.4680 0.0050
OBS: 57823.772 r 163230.0073 751.7020 14.4680 0.0050
OBS: 57823.774 i 134524.0705 743.4075 14.6780 0.0060
OBS: 57823.776 i 135768.8064 750.2862 14.6680 0.0060
OBS: 57823.962 U 212031.3117 2148.1686 14.1840 0.0110
OBS: 57823.966 U 221207.5776 2241.1368 14.1380 0.0110
OBS: 57823.970 B 164588.6943 606.3672 14.4590 0.0040
OBS: 57823.972 B 164285.7898 756.5640 14.4610 0.0050
OBS: 57823.975 V 174100.4926 962.1149 14.3980 0.0060
OBS: 57823.977 V 174743.0855 804.7216 14.3940 0.0050
OBS: 57823.979 g 188104.8529 866.2549 14.3140 0.0050
OBS: 57823.982 g 188451.6742 867.8520 14.3120 0.0050
OBS: 57823.985 r 177991.8020 819.6825 14.3740 0.0050
OBS: 57823.987 r 179143.0648 824.9843 14.3670 0.0050
OBS: 57823.989 i 145881.4260 806.1706 14.5900 0.0060
OBS: 57823.991 i 146960.2899 676.7771 14.5820 0.0050
OBS: 57824.091 U 186380.2972 7724.8169 14.3240 0.0450
OBS: 57824.092 B 169199.8603 6545.2309 14.4290 0.0420
OBS: 57824.097 V 202115.6767 9121.6155 14.2360 0.0490
OBS: 57824.177 U 229509.1476 2113.8574 14.0980 0.0100
OBS: 57824.181 U 223048.8559 2054.3559 14.1290 0.0100
OBS: 57824.185 B 176847.9378 651.5319 14.3810 0.0040
OBS: 57824.188 B 179143.0648 659.9874 14.3670 0.0040
OBS: 57824.191 V 190897.3941 703.2920 14.2980 0.0040
OBS: 57824.193 V 191425.5925 881.5474 14.2950 0.0050
OBS: 57824.195 g 205305.2239 945.4655 14.2190 0.0050
OBS: 57824.197 g 204927.3858 943.7255 14.2210 0.0050
OBS: 57824.200 r 193018.9728 888.8852 14.2860 0.0050
OBS: 57824.202 r 194088.5878 893.8110 14.2800 0.0050
OBS: 57824.204 i 161435.8557 1040.8154 14.4800 0.0070
OBS: 57824.206 i 160546.1887 1035.0795 14.4860 0.0070
OBS: 57824.741 U 258226.0191 2854.0194 13.9700 0.0120
OBS: 57824.745 U 249115.0697 2523.8780 14.0090 0.0110
OBS: 57824.749 B 207778.2098 765.4832 14.2060 0.0040
OBS: 57824.752 B 207014.1349 762.6683 14.2100 0.0040
OBS: 57824.755 V 228875.8657 843.2099 14.1010 0.0040
OBS: 57824.756 V 228875.8657 843.2099 14.1010 0.0040
OBS: 57824.759 g 240104.3344 884.5771 14.0490 0.0040
OBS: 57824.761 g 239221.3848 881.3242 14.0530 0.0040
OBS: 57824.764 r 236809.9794 1090.5503 14.0640 0.0050
OBS: 57824.766 r 235288.1202 866.8335 14.0710 0.0040
OBS: 57824.768 i 194446.4416 895.4590 14.2780 0.0050
OBS: 57824.883 U 265460.5562 3178.4767 13.9400 0.0130
OBS: 57824.887 U 267670.1856 2958.4002 13.9310 0.0120
OBS: 57824.891 B 221819.6420 817.2138 14.1350 0.0040
OBS: 57824.894 B 223048.8559 821.7424 14.1290 0.0040
OBS: 57824.897 V 240990.5429 887.8420 14.0450 0.0040
OBS: 57824.898 V 242325.9924 892.7619 14.0390 0.0040
OBS: 57824.900 g 257276.4295 947.8414 13.9740 0.0040
OBS: 57824.903 g 257988.2936 1188.0800 13.9710 0.0050
OBS: 57824.906 r 244343.0553 1125.2414 14.0300 0.0050
OBS: 57824.908 r 245697.0828 1131.4769 14.0240 0.0050
OBS: 57824.910 i 203048.6003 935.0734 14.2310 0.0050
OBS: 57824.912 i 201743.7086 929.0641 14.2380 0.0050
OBS: 57825.000 U 270395.8364 2988.5252 13.9200 0.0120
OBS: 57825.004 U 274662.8992 3288.6604 13.9030 0.0130
OBS: 57825.008 B 226777.5192 835.4793 14.1110 0.0040
OBS: 57825.011 B 231846.2095 854.1530 14.0870 0.0040
OBS: 57825.014 V 246376.9077 907.6861 14.0210 0.0040
OBS: 57825.016 V 246376.9077 907.6861 14.0210 0.0040
OBS: 57825.018 g 271144.0009 998.9314 13.9170 0.0040
OBS: 57825.021 g 272646.5459 1004.4670 13.9110 0.0040
OBS: 57825.024 r 258702.1273 1191.3673 13.9680 0.0050
OBS: 57825.026 r 259656.9790 1195.7646 13.9640 0.0050
OBS: 57825.028 i 208545.1048 960.3857 14.2020 0.0050
OBS: 57825.029 i 216570.8495 797.8765 14.1610 0.0040
OBS: 57825.216 U 276439.4371 2546.1013 13.8960 0.0100
OBS: 57825.220 U 276694.1645 2548.4474 13.8950 0.0100
OBS: 57825.224 B 243220.4009 1120.0713 14.0350 0.0050
OBS: 57825.227 B 243893.3730 898.5364 14.0320 0.0040
OBS: 57825.230 V 265216.1706 1221.3656 13.9410 0.0050
OBS: 57825.231 V 265950.0033 1224.7450 13.9380 0.0050
OBS: 57825.233 g 296210.1936 1636.9180 13.8210 0.0060
OBS: 57825.236 g 296756.3358 1639.9361 13.8190 0.0060
OBS: 57825.239 r 269401.4941 1240.6397 13.9240 0.0050
OBS: 57825.241 r 269153.4804 1239.4976 13.9250 0.0050
OBS: 57825.243 i 221207.5776 1629.9177 14.1380 0.0080
OBS: 57825.245 i 224491.5508 1447.3505 14.1220 0.0070
OBS: 57825.525 U 301439.3884 3609.2672 13.8020 0.0130
OBS: 57825.529 U 295392.8643 3808.9364 13.8240 0.0140
OBS: 57825.533 B 257750.7870 949.5890 13.9720 0.0040
OBS: 57825.536 B 254448.5615 1171.7789 13.9860 0.0050
OBS: 57825.539 V 284446.1107 2357.8609 13.8650 0.0090
OBS: 57825.540 V 290803.7483 1874.8811 13.8410 0.0070
OBS: 57825.542 g 298950.9928 1927.4083 13.8110 0.0070
OBS: 57825.545 g 294306.5990 1626.3984 13.8280 0.0060
OBS: 57825.548 r 292146.0374 1883.5351 13.8360 0.0070
OBS: 57825.550 r 292954.3830 2158.5677 13.8330 0.0080
OBS: 57825.552 i 255623.0427 1883.5002 13.9810 0.0080
OBS: 57825.554 i 257276.4295 3791.3656 13.9740 0.0160
OBS: 57825.646 U 299502.1884 3586.0722 13.8090 0.0130
OBS: 57825.650 U 307893.1310 3402.9606 13.7790 0.0120
OBS: 57825.654 B 272646.5459 1004.4670 13.9110 0.0040
OBS: 57825.657 B 271643.9269 1000.7732 13.9150 0.0040
OBS: 57825.660 V 303109.8154 1395.8723 13.7960 0.0050
