SNID: 2018gv
RA: 121.394208
DECL: -11.437861
SURVEY: NULL
FILTERS: BVgri
REDSHIFT_FINAL: 0.0053 +- 0.0010
SEARCH_PEAKMJD: 58144

VARLIST:  MJD  FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 58142.208580 i 326330.09303 725.81306 13.71586 0.00241
OBS: 58142.207140 r 440211.20470 712.27392 13.39085 0.00176
OBS: 58142.218360 B 461301.49105 825.34823 13.34004 0.00194
OBS: 58142.209780 g 487411.21340 735.71946 13.28026 0.00164
OBS: 58142.216150 V 462588.34408 869.61827 13.33701 0.00204
OBS: 58168.127560 i 177937.43347 541.76374 14.37433 0.00330
OBS: 58168.128660 r 340711.98304 782.59099 13.66903 0.00249
OBS: 58168.126220 g 305483.98440 638.73749 13.78753 0.00227
OBS: 58168.116850 V 389807.36029 922.39130 13.52287 0.00257
OBS: 58168.118700 V 383574.99161 963.97744 13.54037 0.00273
OBS: 58168.115360 B 234672.38887 638.56520 14.07385 0.00295
OBS: 58193.061880 r 143821.49109 340.34966 14.60544 0.00257
OBS: 58193.060360 i 118065.49524 317.77151 14.81969 0.00292
OBS: 58193.058840 g 71991.45996 229.16808 15.35680 0.00345
OBS: 58193.046760 B 46924.11798 193.55444 15.82151 0.00448
OBS: 58193.048980 V 117280.36570 366.29576 14.82694 0.00339
OBS: 58162.130530 r 414347.09124 721.43400 13.45659 0.00189
OBS: 58162.129470 i 184005.34523 572.94731 14.33792 0.00338
OBS: 58162.128400 g 486718.35276 771.07920 13.28181 0.00172
OBS: 58162.121340 B 402970.91490 784.60992 13.48682 0.00211
OBS: 58162.123310 V 514821.49165 988.85989 13.22086 0.00208
OBS: 58135.100970 V 55243.36153 343.62149 15.64430 0.00675
OBS: 58135.091030 g 47499.71765 259.41362 15.80827 0.00593
OBS: 58135.103110 B 42196.82625 275.90805 15.93680 0.00709
OBS: 58135.088780 r 52261.25308 294.76466 15.70455 0.00612
OBS: 58135.089910 i 33902.83173 257.45452 16.17441 0.00824
OBS: 58190.056040 r 155746.64168 367.26834 14.51895 0.00256
OBS: 58190.054500 i 134714.95431 358.87682 14.67646 0.00289
OBS: 58190.042880 B 50254.79571 266.72422 15.74706 0.00576
OBS: 58190.052990 g 77189.34235 231.30693 15.28111 0.00325
OBS: 58190.044420 V 125590.93755 357.25771 14.75260 0.00309
OBS: 58196.037210 V 105883.75374 498.79745 14.93793 0.00511
OBS: 58196.038850 B 44432.05458 376.12278 15.88076 0.00918
OBS: 58196.032740 g 65642.32624 269.44859 15.45704 0.00445
OBS: 58196.030170 r 123019.78946 390.07940 14.77506 0.00344
OBS: 58196.031680 i 100682.35124 461.55594 14.99262 0.00497
OBS: 58165.134420 r 345617.22370 671.67661 13.65351 0.00211
OBS: 58165.135470 i 160922.81255 519.94346 14.48346 0.00351
OBS: 58165.136470 g 377199.19008 668.06692 13.55857 0.00192
OBS: 58165.143440 B 297485.68867 730.02848 13.81633 0.00266
OBS: 58165.142330 V 425012.94675 934.98768 13.42899 0.00239
OBS: 58143.154040 V 540028.08041 870.80485 13.16896 0.00175
OBS: 58143.144760 i 386705.21340 696.03625 13.53155 0.00195
OBS: 58143.142960 r 516802.17628 716.31989 13.21669 0.00150
OBS: 58143.155780 B 540588.62854 1021.47227 13.16783 0.00205
OBS: 58143.146370 g 571010.60315 717.36546 13.10839 0.00136
OBS: 58198.059060 g 62424.00638 280.79566 15.51162 0.00488
OBS: 58198.060170 i 97363.45802 386.03546 15.02901 0.00430
OBS: 58198.061420 r 119827.98393 399.02628 14.80360 0.00361
OBS: 58198.052060 V 100996.44142 442.11326 14.98923 0.00475
OBS: 58198.050080 B 43651.46074 323.75284 15.90000 0.00805
OBS: 58177.235730 i 214508.15221 540.68059 14.17139 0.00273
OBS: 58177.236890 r 293554.25897 752.84253 13.83078 0.00278
OBS: 58177.226420 V 246516.78096 683.36509 14.02038 0.00301
OBS: 58177.224950 B 104374.09400 576.94897 14.95352 0.00600
OBS: 58177.234550 g 152836.31806 439.68250 14.53943 0.00312
OBS: 58153.098900 B 651868.93608 1204.42507 12.96460 0.00200
OBS: 58156.243290 g 672697.19807 886.00552 12.93045 0.00143
OBS: 58156.241170 r 645528.28293 1071.56109 12.97521 0.00180
OBS: 58154.207220 B 598632.21175 1162.25007 13.05710 0.00211
OBS: 58154.205460 V 719581.77756 1705.32958 12.85730 0.00257
OBS: 58153.096710 V 753448.37146 1431.59999 12.80737 0.00206
OBS: 58156.242280 i 309006.62989 781.26526 13.77508 0.00274
OBS: 58152.129990 V 753234.96468 1686.86216 12.80767 0.00243
OBS: 58156.248670 B 620358.03930 1315.85603 13.01839 0.00230
OBS: 58156.247670 V 698753.56170 1293.91376 12.88919 0.00201
OBS: 58152.131570 B 702326.75731 1337.62811 12.88365 0.00207
OBS: 58154.207220 B 602184.06474 1170.61969 13.05068 0.00211
OBS: 58154.205460 V 717521.93591 1700.65623 12.86041 0.00257
OBS: 58153.098900 B 658664.29436 1216.52096 12.95334 0.00200
OBS: 58153.096710 V 748919.74053 1421.34848 12.81391 0.00206
OBS: 58152.129990 V 747201.93795 1669.67675 12.81641 0.00242
OBS: 58152.131570 B 705325.90839 1343.16933 12.87903 0.00207
OBS: 58200.042730 i 80924.42793 388.25388 15.22980 0.00521
OBS: 58200.049910 V 91262.66189 467.95447 15.09927 0.00556
OBS: 58200.044350 g 60104.85866 284.34427 15.55273 0.00513
OBS: 58200.039130 r 110057.11276 405.89139 14.89595 0.00400
OBS: 58200.051120 B 41720.49925 331.53670 15.94913 0.00862
OBS: 58175.098190 r 313440.32086 611.35613 13.75961 0.00212
OBS: 58175.099470 i 209123.25701 514.77023 14.19899 0.00267
OBS: 58175.107120 V 274120.27755 744.10074 13.90515 0.00295
OBS: 58175.108460 B 122573.28241 485.02369 14.77901 0.00429
OBS: 58175.100640 g 179002.22092 418.55592 14.36785 0.00254
OBS: 58145.164210 B 635913.49060 1252.50861 12.99150 0.00214
OBS: 58145.249220 g 701172.96388 1296.88350 12.88544 0.00201
OBS: 58145.248500 i 438064.39616 1320.41263 13.39616 0.00327
OBS: 58145.247500 r 636244.87953 1470.65840 12.99094 0.00251
OBS: 58145.162620 V 645642.30131 1074.43650 12.97502 0.00181
OBS: 58145.250090 g 703285.33063 1427.36142 12.88217 0.00220
OBS: 58140.219350 i 234765.93916 632.27001 14.07341 0.00292
OBS: 58140.220500 r 313011.89792 569.20106 13.76110 0.00197
OBS: 58140.212500 V 327467.73684 787.65899 13.71208 0.00261
OBS: 58140.211280 B 325631.44688 764.70651 13.71818 0.00255
OBS: 58140.218190 g 342998.29537 555.51339 13.66177 0.00176
OBS: 58203.020380 r 94013.65127 400.76227 15.06702 0.00463
OBS: 58203.021560 i 71164.98261 345.14407 15.36933 0.00526
OBS: 58203.027720 B 41008.59241 378.28656 15.96781 0.01001
OBS: 58203.025670 V 86886.76692 497.19332 15.15262 0.00621
OBS: 58203.022640 g 55330.91881 289.26046 15.64258 0.00567
OBS: 58172.110160 B 156212.96923 541.90218 14.51571 0.00376
OBS: 58172.118770 g 234930.17144 424.21702 14.07265 0.00196
OBS: 58172.121120 r 330563.21359 592.44351 13.70186 0.00194
OBS: 58172.119940 i 200598.64658 521.21965 14.24418 0.00282
OBS: 58172.111840 V 323736.69303 710.23827 13.72452 0.00238
OBS: 58138.113140 V 195262.81914 616.56764 14.27345 0.00343
OBS: 58138.349190 i 152206.94908 602.36143 14.54391 0.00429
OBS: 58138.340470 V 209587.63666 671.17996 14.19659 0.00347
OBS: 58138.114240 B 189291.32208 540.94647 14.30717 0.00310
OBS: 58138.106780 g 204136.66191 492.12613 14.22520 0.00262
OBS: 58138.105240 i 149384.87585 491.81749 14.56423 0.00357
OBS: 58138.102990 r 192429.21013 469.24385 14.28932 0.00265
OBS: 58138.338560 B 199977.70812 610.91220 14.24755 0.00331
OBS: 58138.347770 g 211166.18765 547.97404 14.18844 0.00282
OBS: 58138.350290 r 202175.88346 502.32318 14.23568 0.00270
OBS: 58195.078110 g 67140.75285 279.75671 15.43253 0.00452
OBS: 58195.075600 r 131036.36973 418.28617 14.70652 0.00346
OBS: 58195.076960 i 105709.44356 468.48911 14.93972 0.00481
OBS: 58195.084930 B 44925.94670 362.37559 15.86876 0.00875
OBS: 58195.083020 V 104991.84377 509.81924 14.94711 0.00527
OBS: 58157.070610 i 288880.21206 769.68002 13.84821 0.00289
OBS: 58157.062840 B 576834.15821 1293.70179 13.09737 0.00243
OBS: 58157.064420 V 670963.73320 1280.98475 12.93325 0.00207
OBS: 58157.069340 g 649487.19457 907.19056 12.96857 0.00152
OBS: 58157.071770 r 615120.21405 946.25209 13.02760 0.00167
OBS: 58136.077130 V 91148.47507 464.54604 15.10063 0.00553
OBS: 58136.065970 i 58120.40262 335.83836 15.58918 0.00627
OBS: 58136.066990 i 57210.30874 347.63979 15.60631 0.00659
OBS: 58136.068690 r 83228.41686 384.94806 15.19932 0.00502
OBS: 58136.070540 g 81980.80895 323.38349 15.21572 0.00428
OBS: 58136.078360 B 73640.40597 391.92340 15.33221 0.00577
OBS: 58197.054940 g 65882.89732 301.64328 15.45307 0.00497
OBS: 58197.049900 V 103080.46109 501.48870 14.96706 0.00528
OBS: 58197.048250 B 44362.24691 322.80343 15.88247 0.00790
OBS: 58197.056330 i 98265.66584 471.24623 15.01900 0.00520
OBS: 58197.057350 r 122862.52479 411.54170 14.77645 0.00363
OBS: 58164.112800 r 363845.00209 703.55659 13.59771 0.00210
OBS: 58164.110650 g 401766.70429 624.61942 13.49007 0.00169
OBS: 58164.103560 B 332260.28322 818.53181 13.69630 0.00267
OBS: 58164.111820 i 161509.80681 472.65434 14.47950 0.00318
OBS: 58164.104760 V 390724.20664 3582.20410 13.52032 0.00995
OBS: 58191.053720 V 122542.47119 365.51082 14.77928 0.00324
OBS: 58191.065290 i 127690.44403 367.06749 14.73460 0.00312
OBS: 58191.050970 B 49710.93349 238.55646 15.75887 0.00521
OBS: 58191.063320 g 73066.13515 193.35336 15.34071 0.00287
