SNID: SN2006gj
SURVEY: NULL
FILTERS: VBUgir
REDSHIFT_FINAL: 0.0283 +- 0.0010
PEAKMJD: 54021.0
	
NOBS: 153
NVAR: 7
VARLIST:  MJD  FLT FIELD   FLUXCAL	 FLUXCALERR	   MAG	   MAGERR

OBS: 54048.2  V  NULL	725.103  0.000	20.349  0.000
OBS: 54048.2  g  NULL	428.154  0.000	20.921  0.000
OBS: 54048.2  i  NULL	1097.489  0.000	19.899  0.000
OBS: 54048.2  r  NULL	1204.481  0.000	19.798  0.000
OBS: 54050.9  V  NULL	666.193  0.000	20.441  0.000
OBS: 54052.2  B  NULL	228.455  0.000	21.603  0.000
OBS: 54052.2  V  NULL	678.578  0.000	20.421  0.000
OBS: 54052.2  g  NULL	388.687  0.000	21.026  0.000
OBS: 54052.2  i  NULL	1025.180  0.000	19.973  0.000
OBS: 54052.2  r  NULL	1069.547  0.000	19.927  0.000
OBS: 54056.2  B  NULL	311.028  0.000	21.268  0.000
OBS: 54056.2  V  NULL	610.942  0.000	20.535  0.000
OBS: 54056.2  g  NULL	382.296  0.000	21.044  0.000
OBS: 54056.2  i  NULL	870.964  0.000	20.150  0.000
OBS: 54056.2  r  NULL	896.190  0.000	20.119  0.000
OBS: 54060.2  B  NULL	213.403  0.000	21.677  0.000
OBS: 54060.2  V  NULL	577.564  0.000	20.596  0.000
OBS: 54060.2  g  NULL	378.443  0.000	21.055  0.000
OBS: 54060.2  i  NULL	841.783  0.000	20.187  0.000
OBS: 54060.2  r  NULL	811.335  0.000	20.227  0.000
OBS: 54066.3  B  NULL	215.973  0.000	21.664  0.000
OBS: 54066.3  V  NULL	473.805  0.000	20.811  0.000
OBS: 54066.3  g  NULL	301.162  0.000	21.303  0.000
OBS: 54066.3  i  NULL	588.302  0.000	20.576  0.000
OBS: 54066.3  r  NULL	629.796  0.000	20.502  0.000
OBS: 54069.2  B  NULL	241.213  0.000	21.544  0.000
OBS: 54069.2  V  NULL	426.580  0.000	20.925  0.000
OBS: 54069.2  g  NULL	359.749  0.000	21.110  0.000
OBS: 54069.2  i  NULL	642.096  0.000	20.481  0.000
OBS: 54069.2  r  NULL	611.505  0.000	20.534  0.000
OBS: 54079.2  B  NULL	146.690  0.000	22.084  0.000
OBS: 54079.2  V  NULL	323.892  0.000	21.224  0.000
OBS: 54079.2  g  NULL	249.345  0.000	21.508  0.000
OBS: 54079.2  i  NULL	442.588  0.000	20.885  0.000
OBS: 54079.2  r  NULL	379.839  0.000	21.051  0.000
OBS: 54084.2  B  NULL	195.344  0.000	21.773  0.000
OBS: 54084.2  V  NULL	337.909  0.000	21.178  0.000
OBS: 54084.2  g  NULL	246.150  0.000	21.522  0.000
OBS: 54084.2  i  NULL	340.095  0.000	21.171  0.000
OBS: 54084.2  r  NULL	333.887  0.000	21.191  0.000
OBS: 54096.1  B  NULL	113.972  0.000	22.358  0.000
OBS: 54096.1  V  NULL	193.019  0.000	21.786  0.000
OBS: 54096.1  g  NULL	231.420  0.000	21.589  0.000
OBS: 54096.1  i  NULL	273.653  0.000	21.407  0.000
OBS: 54096.1  r  NULL	225.113  0.000	21.619  0.000
END: 
